<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,M,20170501,000000,166.0000000,172.3900000,155.0300000,155.9300000,824194850
SBER,M,20170601,000000,156.4000000,158.8900000,136.2000000,145.5900000,1247585930
SBER,M,20170701,000000,146.6900000,167.3500000,146.2200000,164.5300000,1055435570
SBER,M,20170801,000000,165.5300000,186.3300000,165.3000000,183.5100000,1063813850
SBER,M,20170901,000000,183.8500000,195.0000000,180.9300000,192.3300000,942566460
SBER,M,20171001,000000,192.7100000,198.5200000,189.0600000,193.8000000,744449580
SBER,M,20171101,000000,194.5000000,233.9500000,192.3800000,224.3500000,1252529590
SBER,M,20171201,000000,224.5300000,230.5000000,219.2300000,225.2000000,682568440
SBER,M,20180101,000000,226.8800000,264.7900000,226.3500000,264.5000000,839314400
SBER,M,20180201,000000,265.0000000,285.0000000,244.1300000,272.4000000,1029517670
SBER,M,20180301,000000,270.9800000,281.5000000,249.7600000,253.5700000,991918100
SBER,M,20180401,000000,253.6000000,262.8900000,191.5000000,226.9900000,2362442930
SBER,M,20180501,000000,224.5000000,237.9500000,217.1000000,222.3600000,1042240600
SBER,M,20180601,000000,221.5000000,222.7700000,198.5500000,218.0000000,1080716060
SBER,M,20180701,000000,217.0100000,232.2500000,201.1000000,214.8600000,1229280700
SBER,M,20180801,000000,213.6100000,215.2000000,172.8000000,182.0000000,1770858570
SBER,M,20180901,000000,181.7200000,205.6700000,165.9000000,203.3200000,1720149500
SBER,M,20181001,000000,204.5000000,205.9800000,177.0200000,189.8000000,1806021980
SBER,M,20181101,000000,189.5400000,204.7000000,185.5300000,194.0000000,1564499870
SBER,M,20181201,000000,197.9900000,201.9000000,179.0400000,186.3400000,1143510640
SBER,M,20190101,000000,186.3700000,218.1000000,186.0000000,217.9000000,1178536290
SBER,M,20190201,000000,217.9900000,220.7000000,201.1000000,207.8000000,1312764610
SBER,M,20190301,000000,208.4400000,219.2500000,202.2500000,214.4200000,1069818860
SBER,M,20190401,000000,215.0500000,247.2300000,215.0100000,225.1700000,1564990380
SBER,M,20190501,000000,226.0000000,237.4700000,224.1500000,233.2400000,1026259830
SBER,M,20190601,000000,231.1800000,250.6500000,230.3500000,238.5500000,1020679560
SBER,M,20190701,000000,240.9800000,245.5000000,228.5200000,233.4900000,777998730
SBER,M,20190801,000000,232.1500000,232.4600000,212.8800000,224.2000000,1022199390
SBER,M,20190901,000000,224.0500000,237.2000000,222.0500000,227.7100000,795427120
SBER,M,20191001,000000,227.6100000,242.7800000,221.8700000,234.8900000,893477980
SBER,M,20191101,000000,235.3500000,243.7400000,231.9700000,233.9800000,642056610
SBER,M,20191201,000000,234.5900000,256.0000000,229.0300000,254.7500000,665341440
SBER,M,20200101,000000,255.9700000,270.8000000,251.4000000,252.2000000,745103430
SBER,M,20200201,000000,251.8000000,259.7700000,231.0000000,233.3600000,915734170
SBER,M,20200301,000000,238.5500000,241.0000000,172.1500000,187.2100000,2993191110
SBER,M,20200401,000000,183.2000000,205.4400000,182.0000000,197.2500000,1764475550
SBER,M,20200501,000000,195.6800000,205.0000000,183.3300000,200.5000000,1356212500
SBER,M,20200601,000000,203.1000000,223.1500000,200.7500000,203.2200000,1517022880
SBER,M,20200701,000000,205.0100000,221.9800000,197.7300000,221.5700000,1085909540
SBER,M,20200801,000000,222.2700000,244.0400000,221.3000000,226.1000000,1323419970
SBER,M,20200901,000000,226.7100000,232.6000000,215.7900000,229.1400000,1399555760
SBER,M,20201001,000000,229.1400000,229.9000000,200.5000000,200.9900000,1485720760
SBER,M,20201101,000000,200.4400000,252.8800000,196.1500000,249.7000000,2173150940
